ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
su_mjuse5	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Hookah with marijuana or hash	0;1	0 = No; 1 = Yes	N/A
su_mjuse6	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Bong	0;1	0 = No; 1 = Yes	N/A
su_mjuse7	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Edibles	0;1	0 = No; 1 = Yes	N/A
su_mjuse8	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Dabbing	0;1	0 = No; 1 = Yes	N/A
su_mjuse9	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Vaping	0;1	0 = No; 1 = Yes	N/A
su_mjuse10	Integer	N/A	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Other (please describe)	0;1	0 = No; 1 = Yes	N/A
su_mjuse11	String	2000	Recommended	Please indicate which methods of marijuana use you have experience with (select all that apply): Other (please describe)	N/A	N/A	N/A
btsu_27	Integer	N/A	Recommended	"Have you used marijuana (hash	 weed) in the past 30 days?"	0;1	0 = No; 1 = Yes	su_mj30day
su_tolife	Integer	N/A	Recommended	Have you ever used tobacco or nicotine in your life?	0;1	0 = No; 1 = Yes	N/A
su_touse1	Integer	N/A	Recommended	Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Traditional cigarettes 	0;1	0 = No; 1 = Yes	N/A
su_touse2	Integer	N/A	Recommended	"Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Electronic cigarettes	 e-cigarettes	 vaping"	0;1	0 = No; 1 = Yes	N/A
su_touse3	Integer	N/A	Recommended	Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Cigars	0;1	0 = No; 1 = Yes	N/A
su_touse4	Integer	N/A	Recommended	Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Hookah with tobacco	0;1	0 = No; 1 = Yes	N/A
su_touse5	Integer	N/A	Recommended	Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Chew	0;1	0 = No; 1 = Yes	N/A
su_touse6	Integer	N/A	Recommended	Please indicate which methods of tobacco use you have experience with in your lifetime (select all that apply): Nicotine patches	0;1	0 = No; 1 = Yes	N/A
s_use_alc1	Integer	N/A	Recommended	Alcohol: mixed drinks	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_alc2	Integer	N/A	Recommended	Alcohol: liquor/spirits	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_alc3	Integer	N/A	Recommended	Alcohol: beer	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_alc4	Integer	N/A	Recommended	Alcohol: wine	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_alc5	Integer	N/A	Recommended	"Alcohol: seltzers (e.g.	 Truly	 WhiteClaw	 Seagrams	 Smirnoff Ice) or hard ciders"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_caf1	Integer	N/A	Recommended	"Caffeine: soda (e.g.	 Coca Cola	 Pepsi	 Dr. Pepper	 Mountain Dew)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_caf2	Integer	N/A	Recommended	Caffeine: coffee or tea (hot/cold)	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_caf3	Integer	N/A	Recommended	"Caffeine: energy drinks (e.g.	 Redbull	 Monster)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_caf4	Integer	N/A	Recommended	Caffeine: pills	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_nic1	Integer	N/A	Recommended	Tobacco: cigarettes	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_nic2	Integer	N/A	Recommended	Tobacco: chewing tobacco or snuff	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_nic3	Integer	N/A	Recommended	Tobacco: cigars or pipe	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_nic4	Integer	N/A	Recommended	"Nicotine: electronic cigarettes or nicotine vape pens/pods (e.g.	 Juul	 Blu	 Vuse)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_nic5	Integer	N/A	Recommended	"Nicotine: oral nicotine pouches (e.g.	 Zyn	 On	 Velo) or nicotine gum or nicotine lozenges"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_mj1	Integer	N/A	Recommended	"Marijuana (cannabis/hashish/pot/weed): joints	 one-hitters	 bongs	 bowls"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_mj2	Integer	N/A	Recommended	"Marijuana (cannabis/hashish/pot/weed): edibles (e.g.	 brownies	 cookies	 cannabutter)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_mj3	Integer	N/A	Recommended	"THC or HHC or similar: extracts or tinctures made into edibles (e.g.	 gummies	 lollipops)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_mj4	Integer	N/A	Recommended	THC or HHC or similar: vape pens/pods	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_mj5	Integer	N/A	Recommended	Synthetic marijuana products like Spice or K2	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_molly	Integer	N/A	Recommended	"Ecstasy (e.g.	 Molly	 MDMA)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_clubdrug	Integer	N/A	Recommended	"Club drugs (e.g.	 ketamine [special K]	 Rohypnol [roofies]	 GHB)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_inhalants	Integer	N/A	Recommended	"Inhalants (e.g.	 whippets	 nitrous [laughing gas]	 gasoline	 glue	 paint thinners	 amyl/butyl nitrate [poppers])"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_coke	Integer	N/A	Recommended	"Cocaine	 crack cocaine	 free-base or other forms of cocaine except coca leaf tea"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_stim	Integer	N/A	Recommended	"Stimulants (e.g.	 amphetamine	 Adderall	 Ritalin	 speed	 uppers	 ups	 meth	 methamphetamine	 crystal meth	 crystal	 Dexedrine	 bath salts)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_dissoc	Integer	N/A	Recommended	"Dissociatives (e.g.	 dextromorphan [DXM]	 PCP [angel dust])"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_psych	Integer	N/A	Recommended	"Psychedelics or hallucinogens (e.g.	 LSD [acid]	 psilocybin [shrooms	 magic mushrooms]	 mescaline	 peyote	 DMT)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_sed	Integer	N/A	Recommended	"Benzodiazepines (Benzos	 Tranquilizers [e.g.	 Ativan	 Valium	 Librium	 Xanax	 Klonopin]) or Barbiturates (e.g.	 Quaaludes	 downs	 yellow-jackets)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_heroin	Integer	N/A	Recommended	"Heroin	 morphine	 fentanyl	 or opium"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
s_use_painpills	Integer	N/A	Recommended	"Opioid-based prescription pain-killers (e.g.	 Demerol	 Percodan	 OxyContin	 Vicodin	 codeine	 hydrocodone	 methadone)"	1::12	1 = Never Used; 2 = Used in my life but NOT in the past year; 3 = Used in the past year but NOT in the past 3 months; 4 = Used 1-5 days in the past 3 months; 5 = Used 1 day per month in the past 3 months; 6 = Used 2-3 days per month in the past 3 months; 7 = Used 1 day per week in the past 3 months; 8 = Used 2 days per week in the past 3 months; 9 = Used 3-4 days per week in the past 3 months; 10 = Used 5-6 days per week in the past 3 months; 11 = Used daily in the past 3 months; 12 = Used more than once per day in the past 3 months	N/A
subuse_nc_30d_8	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank BEER	 what type of beer did you typically drink?"	0.04; 0.05; 0.06; 0.07; 0.09; 0.10	0.04 = Light (4% ABV); 0.05 = Regular (5% ABV); 0.06 = 6 point (6% ABV); 0.07 = 7% ABV; 0.09 = 9% ABV; 0.10 = 10% ABV	N/A
subuse_nc_30d_9	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank LIQUOR or MIXED DRINKS	 how often did you typically drink? "	0; 0.05; 0.2; 0.5; 0.80; 1	0=None at all; 0.05=3 times a month or less; 0.2=1-2 days per week; 0.5=3-4 days per week; 0.80=5-6 days per week; 1 = Every Day	N/A
subuse_nc_30d_10	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank LIQUOR or MIXED DRINKS	 how much did you typically drink? (Liquor Quantity)"	N/A	Number of drinks	N/A
subuse_nc_30d_11	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank LIQUOR or MIXED DRINKS	 how much did you typically drink? (Liquor Units)"	0; 1.5; 25.6; 59.2; 64; 128	"0 = Does not drink liquor; 1.5 = 1 Shot/mixed drink (1.5oz); 25.6 = 1 Bottle	 Fifth (25.6oz); 59.2 = 1 Handle (59.2oz); 64 = 1/2 Gallon (64oz); 128 = 1 Gallon (128oz)"	N/A
subuse_nc_30d_12	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank LIQUOR or MIXED DRINKS	 what type of liquor did you typically drink?"	0.15; 0.17; 0.28; 0.40; 0.43; 0.45; 0.50; 0.75; 0.95	0.15 = 30 proof (15% ABV); 0.17 = 34 proof (17% ABV); 0.28 = 56 proof (28% ABV); 0.40 = 80 proof (40% ABV); 0.43 = 86 proof (43% ABV); 0.45 = 90 proof (45% ABV); 0.50 = 100 proof (50% ABV); 0.75 = 151 proof (75% ABV); 0.95 = 190 proof (95% ABV)	N/A
tobacuse	Integer	N/A	Recommended	Do you currently use tobacco products of any kind?	0::2	0= No; 1= Yes; 2= I choose not to answer	subuse_nc_30d_17
subuse_nc_30d_18	Float	N/A	Recommended	"If you are a current smoker	 how many CIGARETTES did you smoke in a typical day during this time?"	N/A	Number of cigarettes	N/A
subuse_nc_30d_19	Float	N/A	Recommended	"If you are a current smoker	 how many CIGARS in a typical day?"	N/A	Number of cigars	N/A
subuse_nc_30d_20	Float	N/A	Recommended	"If you are a current smokeless tobacco user	 how many DIPS in a typical day?"	N/A	Number of dips	N/A
subuse_nc_30d_22	Integer	N/A	Recommended	Are you currently using cannabis products?	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_23	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 do these products include: CBD?"	0::2	0 = No; 1 = Yes;  2 = Unsure	N/A
subuse_nc_30d_24	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 do these products include: THC (Delta - 9)?"	0::2	0 = No; 1 = Yes;  2 = Unsure	N/A
subuse_nc_30d_25	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 do these products include: Delta - 8?"	0::2	0 = No; 1 = Yes;  2 = Unsure	N/A
subuse_nc_30d_26	Integer	N/A	Recommended	"Are you currently using cannabis products? If do	 did these products include: Both (CBD + THC)?"	0::2	0 = No; 1 = Yes;  2 = Unsure	N/A
subuse_nc_30d_27	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 do these products include: Others?"	0::2	0 = No; 1 = Yes;  2 = Unsure	N/A
subuse_nc_30d_27_oth	String	200	Recommended	"Are you currently using cannabis products? If Yes	 do these products include: Others? Please specify"	N/A	N/A	N/A
subuse_nc_30d_28	Integer	N/A	Recommended	"Are you currently using cannabis products? If yes	 do you use these products for: Medicinal purposes?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_29	Integer	N/A	Recommended	"Are you currently using cannabis products? If yes	 do you use these products for: Recreational purposes?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_30	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 do you have a medical marijuana card?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_31	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 currently	 on how many days/week do you typically use cannabis products?"	1::5	1 = 3 times a month or less; 2 = 1-2 days a week; 3 = 3-4 days a week; 4 = 5-6 days a week; 5 = Everyday	N/A
subuse_nc_30d_1	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank WINE	 how often did you typically drink? "	0; 0.05; 0.2; 0.5; 0.80; 1	0=None at all; 0.05=3 times a month or less; 0.2=1-2 days per week; 0.5=3-4 days per week; 0.80=5-6 days per week; 1 = Every Day	N/A
subuse_nc_30d_32	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 in the past 30 days	 did you use Edibles?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_33	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 in the past 30 days	 did you smoke cannabis?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_34	Integer	N/A	Recommended	"Are you currently using cannabis products? If Yes	 in the past 30 days	 did you use other cannabis products?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_35	String	200	Recommended	"Are you currently using cannabis products? If Yes	 in the past 30 days	 did you use other cannabis products? If Yes	 please specify."	N/A	N/A	N/A
subuse_nc_30d_36	Integer	N/A	Recommended	"Currently	 do you use other substances that are not prescribed to you?"	0;1	0 = No; 1 = Yes	N/A
subuse_nc_30d_37	String	200	Recommended	"Currently	 do you use other substances that are not prescribed to you? If Yes	 please specify."	N/A	N/A	N/A
subuse_nc_30d_2	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank WINE	 how much did you typically drink? (Wine Quantity)"	N/A	Number of drinks	N/A
subuse_nc_30d_3	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank WINE	 how much did you typically drink? (Wine Units)"	5; 10; 25.6; 101.4	5 = 1 Glass/Drink (5oz); 10 = 1 Winecooler (10oz); 25.6 = 1 Bottle (25.6oz); 101.4 = 1 Box	N/A
subuse_nc_30d_4	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank WINE	 what type of wine did you typically drink?"	0.15; 0.20	0.15 = Table wine (15% ABV); 0.20 = Fortified wine (20% ABV)	N/A
subuse_nc_30d_5	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank BEER	 how often did you typically drink? "	0; 0.05; 0.2; 0.5; 0.80; 1	0=None at all; 0.05=3 times a month or less; 0.2=1-2 days per week; 0.5=3-4 days per week; 0.80=5-6 days per week; 1 = Every Day	N/A
subuse_nc_30d_6	Float	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank BEER	 how much did you typically drink? (Beer Quantity)"	N/A	Number of drinks	N/A
subuse_nc_30d_7	Integer	N/A	Recommended	"In the past 30 days	 on a typical day	 when you drank BEER	 how much did you typically drink? (Beer Units)"	8; 12; 16; 24; 64; 72; 288	8 = 1/2 Pint (8oz); 12 = 1 can (12 oz); 16 = 1 Pint (16oz); 24 = 1 ''Tallboy'' (24oz);  64 = 1 Pitcher (64oz); 72 = 16 pack; 288 = 1 case (24 cans)	N/A
ema_survey	String	100	Recommended	Which survey collected the EMA data?	N/A	"e.g.	 Morning report; Random; First Drink; Bedtime; Drinking Follow-up; Drinking Follow-up 2; Drinking Follow-up 3; Breathalyzer Test"	N/A
ema_studyday	Integer	N/A	Recommended	Day of the EMA collection	1::14	N/A	N/A
ema_weekday	Integer	N/A	Recommended	Day of the week for the EMA collection	1::7	1= Sunday; 2= Monday; 3= Tuesday; 4= Wednesday; 5= Thursday; 6= Friday; 7= Saturday	N/A
emadatetime	String	20	Recommended	Date and time of EMA collection	N/A	N/A	N/A
ema_hids106	Integer	N/A	Recommended	"If in the past 15 minutes	 you have been with someone	 who have you been with (check all that apply): Other family member"	0;1	0=Unchecked; 1=Checked	N/A
who_othfam	Integer	N/A	Recommended	Missing other family member	0;1	0=Unchecked; 1=Checked	N/A
soc_au_1	Integer	N/A	Recommended	How much would you like to reduce how much you''re drinking right now?	1::9	1 = Not at all; 3 = Not really; 5 = I''m undecided; 7 = A bit; 9 = A lot	N/A
